Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.23;0.00;0.00;0.00;
7;0.33;0.00;0.00;0.00;
8;0.65;0.00;0.00;0.00;
9;0.85;0.10;9.52;10.00;
10;0.23;0.00;0.00;0.00;
11;1.55;0.04;4.49;7.00;
12;2.12;0.00;0.00;0.00;
13;3.86;0.01;1.15;2.00;
5;0.15;0.00;0.00;0.00;
6;0.48;0.03;2.82;10.00;
7;0.72;0.03;2.59;15.00;
8;1.08;0.02;1.62;15.00;
9;1.17;0.02;1.82;25.00;
10;2.61;0.01;0.50;10.00;
11;1.65;0.03;2.52;70.00;
12;2.42;0.01;1.33;50.00;
13;3.30;0.01;1.20;60.00;
17;5.75;0.22;22.08;17.00;
34;63.64;0.12;12.29;158.00;
65;424.22;0.10;9.74;179.20;
100;1708.06;0.17;17.13;6207.80;
171;7060.01;0.20;20.07;552.80;
14;2.87;0.03;2.65;88.00;
29;52.31;0.05;4.91;79.00;
100;2024.75;0.13;13.43;2858.40;
137;3953.44;0.15;15.36;10730.20;
150;5995.62;0.17;16.89;4413.20;
200;15086.65;0.19;19.03;5602.40;
Parowanie = 0.5; Alfa = 1; Beta = 3; Stala = 5; 
5;0.19;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.47;0.06;5.56;5.00;
8;0.14;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.40;0.00;0.00;0.00;
12;2.30;0.01;1.13;2.00;
13;2.16;0.02;1.72;3.00;
5;0.05;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.50;0.02;1.72;10.00;
8;0.63;0.01;1.08;10.00;
9;0.43;0.00;0.00;0.00;
10;1.63;0.01;0.76;15.00;
11;2.63;0.01;0.72;20.00;
12;3.96;0.01;1.06;40.00;
13;4.86;0.00;0.30;15.00;
17;9.06;0.09;9.09;7.00;
34;57.79;0.09;8.63;111.00;
65;667.90;0.09;9.40;172.80;
100;1598.94;0.14;13.73;4973.00;
171;8887.31;0.19;18.69;514.80;
14;4.41;0.03;3.10;103.00;
29;31.02;0.06;6.21;100.00;
100;1756.99;0.10;10.42;2218.20;
137;3954.70;0.10;9.58;6691.20;
150;3891.30;0.14;13.55;3540.80;
200;10801.10;0.16;15.63;4601.60;
Parowanie = 0.5; Alfa = 1; Beta = 5; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.43;0.02;1.92;3.00;
12;1.26;0.00;0.00;0.00;
13;2.59;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.36;0.00;0.00;0.00;
8;0.63;0.02;1.62;15.00;
9;0.83;0.01;0.73;10.00;
10;2.19;0.01;0.76;15.00;
11;2.10;0.01;1.26;35.00;
12;3.14;0.01;1.33;50.00;
13;2.34;0.01;1.10;55.00;
17;6.97;0.27;27.27;21.00;
34;37.20;0.00;0.00;0.00;
65;397.73;0.09;9.37;172.40;
100;1633.95;0.12;12.22;4428.20;
171;7439.43;0.22;21.77;599.80;
14;3.70;0.03;2.65;88.00;
29;21.50;0.06;6.34;102.00;
100;1515.97;0.11;10.50;2235.60;
137;3927.15;0.07;7.47;5219.60;
150;4301.58;0.10;10.38;2712.20;
200;9322.83;0.12;11.95;3516.60;
