 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
10;0.35;0.00;0.00;0.00;
11;2.36;0.01;1.28;2.00;
12;4.89;0.02;1.69;3.00;
13;4.51;0.01;1.15;2.00;
5;0.05;0.00;0.00;0.00;
6;0.28;0.00;0.00;0.00;
7;0.37;0.00;0.00;0.00;
8;0.58;0.00;0.00;0.00;
9;1.18;0.02;1.82;25.00;
10;1.09;0.02;1.76;35.00;
11;1.65;0.01;1.08;30.00;
12;3.45;0.01;0.80;30.00;
13;2.12;0.02;1.60;80.00;
17;13.40;0.09;9.09;7.00;
34;100.95;0.03;2.80;36.00;
65;861.40;0.11;10.57;194.40;
100;2678.67;0.16;16.04;5812.40;
171;10944.67;0.19;19.08;525.60;
14;6.03;0.03;2.65;88.00;
29;58.26;0.08;8.27;133.20;
100;2684.21;0.13;13.30;2831.00;
137;6597.40;0.15;14.61;10202.80;
150;7710.31;0.17;16.97;4435.00;
200;18104.81;0.21;20.77;6114.40;
Parowanie = 0.5; Alfa = 1; Beta = 3; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.85;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;2.53;0.01;1.28;2.00;
12;3.35;0.02;1.69;3.00;
13;3.46;0.01;0.57;1.00;
5;0.13;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.63;0.01;1.08;10.00;
9;0.84;0.01;1.09;15.00;
10;1.20;0.01;0.50;10.00;
11;1.40;0.01;0.90;25.00;
12;4.11;0.00;0.40;15.00;
13;2.13;0.01;1.20;60.00;
17;12.07;0.09;9.09;7.00;
34;54.55;0.04;3.73;48.00;
65;603.40;0.09;8.91;163.80;
100;2941.33;0.13;13.42;4862.60;
171;8866.77;0.20;20.24;557.60;
14;2.60;0.09;9.09;302.00;
29;50.91;0.07;6.99;112.60;
100;2771.72;0.10;9.52;2025.20;
137;5844.30;0.11;10.78;7528.60;
150;8090.62;0.12;12.37;3231.20;
200;16769.37;0.15;14.57;4287.60;
