Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
10;0.24;0.00;0.00;0.00;
11;1.99;0.01;1.28;2.00;
12;2.48;0.00;0.00;0.00;
13;3.68;0.01;1.15;2.00;
5;0.07;0.00;0.00;0.00;
6;0.19;0.00;0.00;0.00;
7;0.33;0.00;0.00;0.00;
8;0.64;0.01;1.08;10.00;
9;1.17;0.02;1.82;25.00;
10;1.40;0.01;1.26;25.00;
11;1.66;0.01;0.90;25.00;
12;3.43;0.00;0.27;10.00;
13;3.74;0.01;1.00;50.00;
17;8.92;0.09;9.09;7.00;
34;64.10;0.06;5.75;74.00;
65;660.41;0.08;8.45;155.40;
100;2227.30;0.13;12.81;4642.60;
171;7217.35;0.22;21.68;597.40;
14;5.50;0.03;2.65;88.00;
29;39.03;0.07;7.14;115.00;
100;2191.58;0.11;11.08;2357.00;
137;6043.38;0.11;10.91;7623.00;
150;7023.07;0.12;11.70;3058.40;
200;14122.20;0.14;14.03;4129.40;
Parowanie = 0.5; Alfa = 1; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.85;0.10;9.52;10.00;
10;0.35;0.00;0.00;0.00;
11;1.43;0.02;1.92;3.00;
12;0.89;0.00;0.00;0.00;
13;3.92;0.01;1.15;2.00;
5;0.13;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.15;0.00;0.00;0.00;
8;0.63;0.01;1.08;10.00;
9;0.84;0.01;1.09;15.00;
10;0.88;0.00;0.00;0.00;
11;2.22;0.01;0.72;20.00;
12;2.60;0.01;0.80;30.00;
13;2.56;0.01;1.20;60.00;
17;9.77;0.06;6.49;5.00;
34;76.08;0.03;3.34;43.00;
65;579.54;0.08;8.17;150.20;
100;2484.16;0.13;12.67;4590.20;
171;8369.44;0.20;19.99;550.60;
14;4.73;0.03;2.65;88.00;
29;48.78;0.06;6.09;98.00;
100;1678.32;0.10;10.12;2153.20;
137;5920.75;0.09;8.68;6062.00;
150;6255.60;0.09;9.25;2417.20;
200;16071.04;0.13;13.00;3826.40;
Parowanie = 0.5; Alfa = 1; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.42;0.02;1.92;3.00;
12;0.72;0.00;0.00;0.00;
13;2.61;0.02;2.30;4.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.18;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.68;0.00;0.00;0.00;
10;1.65;0.01;0.50;10.00;
11;1.53;0.01;0.72;20.00;
12;1.92;0.01;0.66;25.00;
13;4.91;0.00;0.30;15.00;
17;8.77;0.22;22.08;17.00;
34;55.49;0.00;0.00;0.00;
65;566.38;0.10;9.51;174.80;
100;1521.99;0.13;13.06;4730.20;
171;6471.50;0.21;21.18;583.40;
14;3.47;0.03;2.65;88.00;
29;22.28;0.10;9.50;153.00;
100;1445.49;0.10;10.10;2148.60;
137;4719.00;0.08;7.88;5507.20;
150;5706.36;0.09;9.41;2458.00;
200;15669.10;0.12;12.46;3668.00;
Parowanie = 0.5; Alfa = 3; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.48;0.06;5.56;5.00;
8;0.14;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;1.13;0.03;3.30;7.00;
11;1.72;0.01;1.28;2.00;
12;2.15;0.03;2.82;5.00;
13;2.64;0.02;2.30;4.00;
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.51;0.02;1.72;10.00;
8;0.21;0.00;0.00;0.00;
9;1.43;0.01;0.73;10.00;
10;1.45;0.01;1.01;20.00;
11;2.09;0.01;1.26;35.00;
12;3.00;0.01;0.80;30.00;
13;3.03;0.01;1.10;55.00;
17;10.77;0.03;2.60;2.00;
34;46.35;0.14;14.46;186.00;
65;388.21;0.15;15.26;280.60;
100;1247.03;0.14;14.39;5214.80;
171;5304.09;0.23;23.24;640.20;
14;2.97;0.05;5.12;170.00;
29;36.04;0.13;12.73;205.00;
100;1162.44;0.13;12.86;2736.60;
137;3374.72;0.11;10.58;7387.80;
150;3893.90;0.12;11.59;3028.40;
200;10626.06;0.14;14.19;4177.20;
Parowanie = 0.5; Alfa = 3; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.37;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;1.44;0.04;3.85;6.00;
12;0.36;0.00;0.00;0.00;
13;2.44;0.06;6.32;11.00;
5;0.07;0.00;0.00;0.00;
6;0.10;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.70;0.01;1.08;10.00;
9;1.11;0.01;0.73;10.00;
10;1.78;0.01;1.01;20.00;
11;1.79;0.01;1.26;35.00;
12;2.60;0.01;0.53;20.00;
13;3.43;0.01;1.00;50.00;
17;6.94;0.58;58.44;45.00;
34;49.73;0.06;5.68;73.00;
65;298.94;0.13;13.15;241.80;
100;1132.78;0.14;13.61;4932.20;
171;5087.91;0.23;23.13;637.20;
14;2.95;0.03;2.65;88.00;
29;37.77;0.12;11.80;190.00;
100;1089.30;0.12;12.04;2562.20;
137;3273.31;0.13;12.99;9072.60;
150;3549.16;0.13;13.26;3465.40;
200;10380.23;0.11;11.48;3380.60;
Parowanie = 0.5; Alfa = 3; Beta = 5; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
